,Address,Business_Summary,Country_of_Incorporation,Established_In,Latest_Update,Name,Number_of_Employees,Ownership_Type,Primary_Sector,contacts
1047, Rabiah & Nassar Building Dhahran Street 4973 Saudi Arabia Al Khobar 31952 ,"Provides catering, pest control, janitorial and landscaping services.",Saudi Arabia,1995," Also known as: Al-Suwaidi Services, SSC Last updated on: 30 September 2017 ",Al-Suwaidi Services Co. Ltd. ,1500,Private,Food and Beverages,"Tel: +966 13-898-1050,Tel: +966 13-898-2550,Fax: +966 13-898-3220,Email: ssc@alsuwaidi.com.sa,www.suwaidiservices.com,"
1048, Adel Khashogji Building Dhahran Street 13th Floor 31974 Saudi Arabia Al Khobar 31952 ,"Provides corporate computer services including security, infrastructure management and communication solutions; develops software solutions.",Saudi Arabia,2002, Also known as: IMT Last updated on: 20 August 2018 ,Information Management Technologies Company Limited ,-,Private,Information Technology,"Tel: +966 13-899-9900,Fax: +966 13-899-1388,Email: info@imt.com.sa,"
1049, Saudi Arabia Jeddah,"Production of chips, chocolate wafers and chocolate bars.",Saudi Arabia,1996, Last updated on: 07 December 2018 ,Thimar Food Manufacturing Co. Ltd. ,-,Private,Food and Beverages,
1050, Golden Tulip Al Baha Resort Al Shifa Street Al Bahah Area 242 Saudi Arabia Al Baha City,Ownership and operation a resort and hotel.,Saudi Arabia,1998, Also known as: Al Baha Hotel Last updated on: 17 June 2019 ,Golden Tulip Al Baha Resort ,40,Private,Leisure and Tourism,"Tel: +966 17-725-2000,Fax: +966 17-725-4724,Email: info@goldentulipresortalbaha.com,www.goldentulipresortalbaha.com,"
1051, National Factory for Foodstuff Production Building Kharj Road Riyadh Industrial City 2 4130 Saudi Arabia Riyadh 11491 ,"Production of juices, energy drinks, tomato paste; ownership and operation of juices, energy drinks and tomato paste retail outlets.",Saudi Arabia,1972," Also known as: Al Waha, NFFP Last updated on: 30 September 2017 ",National Factory for Foodstuff Production ,350,Private,Food and Beverages,"Tel: +966 11-265-1525,Fax: +966 11-265-1489,Email: alwaha@wataniaind.com,www.nffp.com.sa,"
1052, Al-Toukhi Building King Fahad Road Mezzanine Floor Al Murabba District 497 Saudi Arabia Riyadh 11411 ,"Engineering, procurement and construction for heavy projects; provides electromechanical contracting.",Saudi Arabia,1994, Also known as: Al-Toukhi Last updated on: 31 October 2018 ,Al-Toukhi Company for Industry Trading and Contracting ,200,Private,Construction,"Tel: +966 11-276-6655,Fax: +966 11-276-6644,Email: info@altoukhi.com,www.altoukhi.com.sa,"
1053, Al Khraiji Building King Faisal Street 3rd Floor Khobar Business Gate Area 4164 Saudi Arabia Al Khobar 31952 ,"Provides installation and maintenance of oil, gas and water pipelines; provides electromechanical and civil contracting for oil and gas projects; provides engineering consultancy services.",Saudi Arabia,1998, Also known as: MACE Last updated on: 31 August 2018 ,Mace Saudi Arabia Company Limited ,1800,Private,Construction,"Tel: +966 13-894-8887,Tel: +966 13-898-6789,Tel: +966 13-898-2448,Fax: +966 13-895-4382,Email: info@saudimace.com,www.saudimace.com,"
1054, Farabi Petrochemicals Company Building Street 272 Jubail Industrial City 11763 Saudi Arabia Jubail 31961 ,"Manufacture of normal and chlorinated paraffin, linear alkyl benzene, heavy alkylate, heavy, light and white oil.",Saudi Arabia,2002," Also known as: Farabi, Farabi Petrochemicals Last updated on: 27 May 2019 ",Farabi Petrochemicals Company ,300,Private,Oil and Gas,"Tel: +966 13-356-5000,Tel: +966 13-356-5091,Fax: +966 13-356-5008,Fax: +966 13-356-5005,Email: info@farabipc.com,https://www.farabipc.com,"
1055, Saudi Arabia Riyadh,Manufacture of polyvinyl chloride waterproof membranes.,Saudi Arabia,1988, Also known as: SIDMAS Last updated on: 25 January 2016 ,Saudi Industries for Desalination Membranes and Systems (dissolved),-,Private,Industrial Manufacturing,
1056, Al Hamra Oasis Village Compound Building Al Dammam Street North East Area 61835 Saudi Arabia Riyadh 11575 ,Ownership and operation of a residential compound; provides real estate property management.,Saudi Arabia,1997," Also known as: AOVC, Al Hamra Last updated on: 26 April 2019 ",Al Hamra Oasis Village Compound ,200,Private,Leisure and Tourism,"Tel: +966 11-249-0440,Fax: +966 11-248-3628,Email: aovc@alhamra.com.sa,www.alhamra.com.sa,"
1057, Coldstores Group of Saudi Arabia Building Riyadh New Industrial Area 358 Saudi Arabia Riyadh 11383 ,Provides local truck transportation services.,Saudi Arabia,1976," Also known as: CGS, CGS Riyadh Last updated on: 29 August 2018 ",Coldstores Group of Saudi Arabia ,-,Private,Transport,"Tel: +966 11-265-0990,Tel: +966 9200-11247,Fax: +966 11-265-1079,Email: info@cgs.com.sa,www.cgs.com.sa,"
1058, Abdul Khaliq Saeed Perfumes Complex Jeddah Industrial City 24118 Saudi Arabia Jeddah 21446 ,Manufacture and distribution of perfumes and cosmetic products; ownership and operation of perfume retail outlets.,Saudi Arabia,2001, Also known as: A K Saeed Perfumes Last updated on: 31 May 2019 ,Abdul Khaliq Saeed Perfumes ,30,Private,Consumer Goods,"Tel: +966 12-668-8754,Tel: +966 12-608-0229,Fax: +966 12-608-0190,Fax: +966 12-608-1372,Fax: +966 12-645-2292,"
1059, National Food Company - Americana Cake Building Jeddah Industrial City 5 51047 Saudi Arabia Jeddah 21543 ,"Production of cakes, cookies, biscuits, cupcakes, rolls and rusks.",Saudi Arabia,1972, Also known as: Americana Cake Last updated on: 30 November 2018 ,National Food Company - Americana Cake ,1000,Foreign,Food and Beverages,"Tel: +966 12-608-1220,Tel: +966 12-608-1229,Tel: +966 12-608-1237,Fax: +966 12-608-1253,Fax: +966 12-608-1259,Email: info@americanacake.com,www.americanacake.net,"
1060, National Food Company - Americana Cake Building Jeddah Industrial City 5 51047 Saudi Arabia Jeddah 21543 ,"Production of cakes, cookies, biscuits, cupcakes, rolls and rusks.",Saudi Arabia,1972, Also known as: Americana Cake Last updated on: 30 November 2018 ,National Food Company - Americana Cake ,1000,Foreign,Food and Beverages,"Tel: +966 12-608-1220,Tel: +966 12-608-1229,Tel: +966 12-608-1237,Fax: +966 12-608-1253,Fax: +966 12-608-1259,Email: info@americanacake.com,www.americanacake.net,"
1061, Middle East Centre Palestine Road 6th Floor 8128 Saudi Arabia Jeddah 21482 ,Manufacture of concrete products including red bricks and blocks.,Saudi Arabia,1956, Last updated on: 07 January 2019 ,Saudi Red Bricks Company ,1000,Private,Industrial Manufacturing,"Tel: +966 12-672-3454,Tel: +966 12-674-4071,Tel: +966 12-673-0032,Fax: +966 12-619-2481,Fax: +966 12-671-8628,Email: info@redbricks.com.sa,www.redbricks.com.sa,"
1062, Ahmad N Albinali & Sons for Contracting & Trading Company Limited Building Fast Highway Dammam Al Khobar Street 2 Saudi Arabia Dammam 31411 ,"Holding company with activities in provides civil and electromechanical contracting for buildings, roads and industrial plants; engineering consultancy services; real estate property investment and development; installation of pipelines; telecommunication infrastructure development; maintenance services for the oil and gas including cleaning of tanks and pipelines; local truck transportation services; piling, shoring, excavation, dewatering and ground improvement works; manufacturing of asphalt and protective coating; pastries and chocolate; fabrication and installation of tanks; distribution of drilling chemicals.",Saudi Arabia,1958, Last updated on: 22 March 2018 ,Ahmad N Albinali & Sons for Contracting & Trading Company Limited ,-,Private,Construction,"Tel: +966 13-859-5555,Fax: +966 13-857-4882,Email: info@albinali.com,www.albinali.com,"
1063, Cooperative Real Estate Investment Company Building 700 King Fahd Road 1st Floor Al Olaya District 93890 Saudi Arabia Riyadh 11683 ,Provides real estate property investment and development.,Saudi Arabia,1992, Also known as: CREIC Last updated on: 16 October 2018 ,Cooperative Real Estate Investment Company ,35,Government,Real Estate,"Tel: +966 11-461-1335,Tel: +966 11-464-7881,Fax: +966 11-463-3604,Email: info@creic.com.sa,www.creic.com.sa,"
1064, National Biscuits & Confectionery Co. Ltd. Building Street 31 Jeddah Fourth Industrial City 30972 Saudi Arabia Jeddah 21487 ,"Production of biscuits, cookies, cakes, popcorn, chips and Arabic sweets.",Saudi Arabia,1988, Also known as: NBCC Last updated on: 26 June 2019 ,National Biscuits & Confectionery Co. Ltd. ,1000,Private,Food and Beverages,"Tel: +966 12-636-0606,Fax: +966 12-608-2007,Fax: +966 12-637-6183,Email: info@nbcc.com.sa,www.nbcc.com.sa,"
1065," Batterjee Holding Company Building Sitteen Road, Palestine Street 28 Saudi Arabia Jeddah 21411 ","Holding company with interests in manufacture of garments, leather products, baby care products including baby shampoo, hair conditioner, lotion, bath foam, soap, moisturizing cream, scented and antibacterial wet wipes, baby oil, baby powders, baby colognes, toothpastes and disposable diapers, furniture, steel structures, ready mix concrete, plastic raw materials and lubricant oils; production, packaging and bottling of juices and ice cream; ownership and management of pharmacies; distribution of pharmaceuticals; real estate property investment and development; provides oil well drilling services.",Saudi Arabia,1982, Also known as: BHC Last updated on: 22 March 2018 ,Batterjee Holding Company ,1000,Private,Consumer Goods,"Tel: +966 12-608-4545,Tel: +966 12-608-4444,Tel: +966 12-608-9999,Fax: +966 12-608-4032,Fax: +966 12-608-0404,Fax: +966 12-608-0909,Email: group@batterjee.com,www.batterjeeholding.com,"
1066, C/O National Petrochemical Industries Company Future Tower Amana Street 8th Floor West Baghdadiya Area 2824 Saudi Arabia Jeddah 21461 ,Manufacture of polypropylene.,Saudi Arabia,1997, Last updated on: 04 September 2018 ,Teldene ,,Private,Oil and Gas,"Tel: +966 12-644-2668,Fax: +966 12-644-2475,"
1067, Dar Al Iman InterContinental Madinah Hotel Sitteen Street 16 Prophet's Mosque Area 20205 Saudi Arabia Medina 41455 ,Ownership and operation of a hotel.,Saudi Arabia,1998, Last updated on: 28 September 2018 ,Dar Al Iman InterContinental Madinah Hotel ,350,Private,Leisure and Tourism,"Tel: +966 14-820-6666,Fax: +966 14-820-6677,Email: intercontinental.daraliman@ihg.com,"
1068, InterContinental Jeddah Al Hamra Corniche Street 41855 Saudi Arabia Jeddah 21531 ,Ownership and operation of a hotel.,Saudi Arabia,1992, Last updated on: 15 October 2018 ,InterContinental Jeddah ,520,Private,Leisure and Tourism,"Tel: +966 12-229-5555,Fax: +966 12-229-5556,Email: intercontinental.jeddah@ihg.com,"
1069," Sara Holding Company Limited Building C27 Airport Road Business Gate, Zone C2 11561 Saudi Arabia Riyadh 43121 ",Holding company with interests in direct investments in various sectors.,Saudi Arabia,1998, Last updated on: 31 March 2018 ,Sara Holding Company Limited ,35,Private,Financial Services,"Tel: +966 13-463-6363,Fax: +966 13-463-6300,"
1070, Jubail United Petrochemical Company Building Jubail Industrial City 10085 Saudi Arabia Jubail 31961 ,"Manufacture of petrochemicals including ethylene, high density polyethylene, ethylene glycol and linear alpha olefins.",Saudi Arabia,2000, Also known as: JUPC Last updated on: 26 July 2018 ,Jubail United Petrochemical Company ,750,Private,Oil and Gas,"Tel: +966 13-359-5000,Fax: +966 13-358-4008,Fax: +966 13-359-5059,"
1071, Olayan Building Dammam Khobar Highway 1520 Saudi Arabia Dammam 31952 ,"Manufacture of toiletries including toothpastes, toothbrushes and mouthwashes.",Saudi Arabia,1990, Also known as: CPAL Last updated on: 27 March 2019 ,Colgate-Palmolive Arabia Ltd. ,-,Foreign,Consumer Goods,"Tel: +966 13-847-3133,Fax: +966 13-847-1397,"
1072, Olayan Building Dammam Khobar Highway 1520 Saudi Arabia Dammam 31952 ,"Manufacture of toiletries including toothpastes, toothbrushes and mouthwashes.",Saudi Arabia,1990, Also known as: CPAL Last updated on: 27 March 2019 ,Colgate-Palmolive Arabia Ltd. ,-,Foreign,Consumer Goods,"Tel: +966 13-847-3133,Fax: +966 13-847-1397,"
1073, King Fahd Armed Forces Hospital Building Corniche Road Al Andalus Area 9862 Saudi Arabia Jeddah 21159 ,Ownership and operation of a general military hospital.,Saudi Arabia,1975, Also known as: KFAFH Last updated on: 26 April 2019 ,King Fahd Armed Forces Hospital ,500,Government,Health Care,"Tel: +966 12-665-3000,Tel: +966 12-232-8888,Fax: +966 12-665-6056,Fax: +966 12-663-8936,Email: info@kfafh.med.sa,kfafh.med.sa,"
1074, Al Romaizan for Gold & Jewellery Company Building Al Deera Area 768 Saudi Arabia Riyadh 11421 ,Manufacture of jewelry; ownership and operation of jewelry retail outlets. Through its main subsidiaries; it provides ownership and operation of a training center.,Saudi Arabia,1986, Also known as: Al Romaizan Last updated on: 14 January 2019 ,Al Romaizan for Gold & Jewellery Company ,600,Private,Consumer Goods,"Tel: +966 11-411-3732,Fax: +966 11-411-2513,Email: romaizan@al-romaizan.com,"
1075, Saudi Polypropylene Sack Factory Building Street 11 Dammam Industrial City 1 254 Saudi Arabia Dammam 31411 ,Manufacture of packaging products including polypropylene and polyethylene sacks and bags.,Saudi Arabia,1975, Also known as: SPSF Last updated on: 21 January 2019 ,Saudi Polypropylene Sack Factory ,200,Private,Industrial Manufacturing,"Tel: +966 13-847-4098,Tel: +966 13-847-4099,Fax: +966 13-847-2115,Email: spsf@almoajilholding.com,www.polysack-almoajil.com,"
1076, Riyadh Care Hospital Building Unayzah Street Al Rawabi Area 42142 Saudi Arabia Riyadh 11541 ,Ownership and operation of a general hospital.,Saudi Arabia,2004, Also known as: RCH Last updated on: 30 October 2018 ,Riyadh Care Hospital ,2500,Private,Health Care,"Tel: +966 11-493-3000,Fax: +966 11-493-6200,Email: care@care.med.sa,"
1077, King Abdulaziz University Building Abdullah Suleiman Street Al Jamiaa District 80200 Saudi Arabia Jeddah 21589 ,Ownership and operation of a university.,Saudi Arabia,1967," Also known as: KAAU, KAU Last updated on: 30 July 2018 ",King Abdulaziz University ,-,Private,Education,"Tel: +966 12-640-0000,Fax: +966 12-695-2437,Email: info@itc.edu.sa,https://www.kau.edu.sa,"
1078, Ministry of National Guard - Health Affairs Building Alsheikh Jaber Alahmed Alsabah Street King Abdulaziz Medical City 22490 Saudi Arabia Riyadh 11426 ,"Oversees and provides optimum healthcare to Saudi Arabian National Guard Forces personnel; conducts research and participates in industry and community service programs in the healthcare sector; ownership and operation of a general hospital, university and medical labs.",Saudi Arabia,1994, Also known as: NGHA Last updated on: 08 January 2018 ,Ministry of National Guard - Health Affairs ,,Government,Governmental Institutions,"Tel: +966 11-801-1111,Fax: +966 11-801-1000,Email: ehealth@ngha.med.sa,www.ngha.med.sa,"
1079, Al Rajhi Industrial Group Building Prince Salman Street 1st Floor Riyadh First Industrial City 42185 Saudi Arabia Riyadh 11541 ,"Holding company with interests in manufacture of polyvinyl chloride pipes, tubes, polyester staple fiber, mattresses, pillows and hygienic paper products; production of mineral water.",Saudi Arabia,1977, Also known as: Al Rajhi Last updated on: 27 November 2017 ,Al Rajhi Industrial Group ,null,Private,Industrial Manufacturing,"Tel: +966 11-448-2450,Tel: +966 11-295-0096,Fax: +966 11-447-4039,www.alrajhigroup.com,"
1080, National Gypsum Building Tahlia Street 1st Floor Olaya Area 62812 Saudi Arabia Riyadh 11595 ,"Provide corporate computer services including hardware management, program training, software customizations, systems analysis and design, presale consultation and vehicle installation; information technology consulting and outsourcing services; software solutions; distribution of information technology equipment including printers, mobile computing devices, barcode scanners, honeywell readers and fixed vehicle.",Saudi Arabia,1992, Also known as: MTS Last updated on: 15 February 2019 ,Mirnah Technology Systems ,75,Private,Information Technology,"Tel: +966 11-462-1545,Fax: +966 11-462-3812,Email: info@mirnah.com,www.mirnah.com,"
1081," Tetra Pak Manufacturing Limited Building 88 - 103, Phase 3 Al Hamra Street JCCI Warehouse City 9454 Saudi Arabia Jeddah 21413 ","Manufacture of packaging products including cartons and straws; distribution of food service machinery including processing equipment; distribution of industrial automation machinery and equipment including conveyors, accumulators, cardboard packers, crates, roll containers and film wrappers; provides repair and maintenance services.",Saudi Arabia,1996, Also known as: Tetra Pak Last updated on: 30 October 2018 ,Tetra Pak Manufacturing Limited ,570,Private,Industrial Manufacturing,"Tel: +966 12-968-8147,Tel: +966 12-268-8000,Fax: +966 12-636-2220,Email: info.sa@tetrapak.com,"
1082, Zagzoog for Home Appliances Company Building Al Maadi Street Al Ruwais District 9441 Saudi Arabia Jeddah 21413 ,Ownership and operation of home appliances retail outlets.,Saudi Arabia,1959, Also known as: Zagzoog Last updated on: 21 January 2019 ,Zagzoog for Home Appliances Company ,300,Private,Retail,"Tel: +966 12-651-3444,Fax: +966 12-653-0349,Email: info@zagzoog.com,www.zagzoog.com,"
1083, Supreme Foods Processing Company Limited Building Omar Bin Abdulaziz Street 1st Floor Al Rabwa Area 86909 Saudi Arabia Riyadh 11632 ,Production of frozen poultry and meat products; distribution of fresh poultry and meat products.,Saudi Arabia,1991, Also known as: SFPC Last updated on: 17 June 2019 ,Supreme Foods Processing Company Limited ,200,Private,Food and Beverages,"Tel: +966 11-477-5192,Fax: +966 11-476-5865,Email: info@tanmiah.com,"
1084, Mohammad A Al Faddaghi & Partners Building Road 141 Riyadh Industrial City 2 26162 Saudi Arabia Riyadh 11486 ,"Manufacture of pumps, generators and lighting towers; distribution of electrical, industrial agricultural machinery and equipment; distribution of pumps; provides repair and maintenance services.",Saudi Arabia,1978, Also known as: Al Faddaghi & Partners Last updated on: 31 October 2018 ,Mohammad A Al Faddaghi & Partners ,300,Private,Industrial Manufacturing,"Tel: +966 11-495-6500,Tel: +966 92-000-8138,Fax: +966 11-495-4000,Email: sales@alfaddaghi.com,www.alfaddaghi.com,"
1085," Saudi Business Center Madina Street 5th Floor, Office 501 Al Baghdadiyah Area 14221 Saudi Arabia Jeddah 21424 ","Provides seaport cargo handling services; electromechanical contracting, painting, plumbing, welding and carpentry works; provides catering services; trading of fuel oils including petroleum gas; ownership and operation of gasoline stations; provides janitorial services including floor cleaning; automotive repair and maintenance services; local truck transportation services for goods.",Saudi Arabia,2004, Also known as: ISNAD Last updated on: 28 September 2018 ,Support Services Operations Company ,37,Private,Transport,"Tel: +966 12-657-4455,Fax: +966 12-657-4270,Email: info@isnad.com,"
1086, Al Oula Tower King Fahad Road 5th Floor Al-Mummadiya Area 300653 Saudi Arabia Riyadh 11372 ,Provides business consulting services.,Saudi Arabia,2004, Also known as: ImpaQta Last updated on: 28 March 2019 ,ImpaQta Management Advisory Services ,,Private,Services,"Tel: +966 11-207-9772,Fax: +966 11-207-9554,"
1087, Saudi Television Manufacturing Company Limited Building Prince Saud Al Faisal Street Al Faysaliyah Area 5303 Saudi Arabia Jeddah 21422 ,"Manufacturing of televisions, digital video discs, closed circuit television, monitors, laptop and mobile phones.",Saudi Arabia,1991, Last updated on: 21 September 2018 ,Saudi Television Manufacturing Company Limited ,160,Private,Consumer Goods,"Tel: +966 12-257-6911,Tel: +966 12-257-8747,Tel: +966 12-257-6901,Fax: +966 12-257-7201,"
1088, National Cleaning Products Company Building Dammam Industrial Area 2 5952 Saudi Arabia Dammam 31432 ,Manufacturing of household chemicals including detergents.,Saudi Arabia,1983, Also known as: Clorox Saudi Arabia Last updated on: 30 November 2018 ,National Cleaning Products Company ,100,Private,Consumer Goods,"Tel: +966 13-812-2191,Tel: +966 13-812-1726,Fax: +966 13-812-1039,Email: clorox@e.clorox.com,"
1089, Le Meridien Makkah Building King Abdulaziz Street Ajyad District 13700 Saudi Arabia Makkah 2155 ,Ownership and operation of a hotel.,Saudi Arabia,2003, Also known as: Le Meridien Last updated on: 30 April 2019 ,Le Meridien Makkah ,225,Private,Leisure and Tourism,"Tel: +966 12-575-1111,Fax: +966 12-575-2001,Email: reservations.1890@lemeridien.com,www.lemeridienmakkah.com,"
1090, Fursan Travel and Tourism Building King Fahad Road Al Olaya District 58458 Saudi Arabia Riyadh 11594 ,Provides travel agency services.,Saudi Arabia,1980, Also known as: Fursan Travel Last updated on: 04 July 2018 ,Fursan Travel and Tourism Co. LLC ,,Private,Leisure and Tourism,"Tel: +966 11-293-1160,Tel: +966 11-462-5015,Tel: +966 11-488-0801,Fax: +966 11-465-8092,Fax: +966 11-416-3697,Email: info@fursan.com.sa,www.fursan.com.sa,"
1091, Al Mousa Building North Ring Road 2nd Floor Al Mrooj District 3176 Saudi Arabia Riyadh 11471 ,Distribution and maintenance of airplanes and helicopters; charter aircraft transportation services.,Saudi Arabia,1975, Also known as: Wallan Aviation Last updated on: 25 June 2018 ,Al Wallan Aviation ,50,Private,Transport,"Tel: +966 11-456-2896,Email: info@wallanaviation.com,www.wallanaviation.com,"
1092, Saudi Arabia Jeddah,"Civil and electromechanical contracting for infrastructure and building projects; real estate property management; manufacturing of chemicals, painting and ready mix concrete; travel agent and tour operators; distribution of telecommunications equipment, construction materials and gas turbine generators; installation and maintenance of elevators.",Saudi Arabia,1978, Also known as: Kamal Adham Group of Companies Last updated on: 25 January 2016 ,Adham Group (dissolved),-,Private,Construction,
1093, Bin Salman Building Prince Sultan Street 1st Floor Al Khalidiyah District 7540 Saudi Arabia Jeddah 21472 ,Ownership and operation of optical retail outlets.,Saudi Arabia,1981, Last updated on: 17 July 2018 ,Magrabi Retail ,520,Private,Retail,"Tel: +966 12-606-7261,Fax: +966 12-606-6398,"
1094, Saudi Commission for Tourism and National Heritage Building Umayyah Abu As Salat Street Diplomatic Area 66680 Saudi Arabia Riyadh 11586 ,"Organizes, develops and promotes the tourism sector in Saudi Arabia.",Saudi Arabia,2000, Also known as: SCTH Last updated on: 31 January 2019 ,Saudi Commission for Tourism and National Heritage ,400,Government,Governmental Institutions,"Tel: +966 11-880-8855,Fax: +966 11-880-8844,Email: info@scth.gov.sa,www.scth.gov.sa,"
1095," Saudi Trade & Export Development Company Building Bonded and Re-Export Zone, Jeddah Islamic Port 14221 Saudi Arabia Jeddah 21415 ","Real estate property investment, development and management; operation and management of free trade zones; direct investment in financial services sector.",Saudi Arabia,1999, Also known as: Tusdeer Last updated on: 02 June 2018 ,Saudi Trade & Export Development Company ,60,Private,Real Estate,"Tel: +966 12-604-8423,Tel: +966 12-604 -8421,Tel: +966 12-604 -8422,Fax: +966 12-647-1381,Fax: +966 12-645-1546,Email: info@tusdeer.com,www.tusdeer.com,"
1096, Saudi Gulf Environmental Protection Company Building Medina Road 3394 Saudi Arabia Jeddah 21471 ,"Provides waste management, solid and hazardous waste collection and treatment; provides environmental research and specialized training services.",Saudi Arabia,1997, Also known as: SEPCO Last updated on: 09 October 2018 ,Saudi Gulf Environmental Protection Company ,120,Private,Services,"Tel: +966 12-238-8223,Fax: +966 12-238-8224,Email: info@sepcoenvironment.com,www.sepcoenvironment.com,"
1097, Shaker Center 1 Prince Abdullah Street 1st Floor Al Faisaliah Area 1674 Saudi Arabia Jeddah 21441 ,Ownership and operation of fast food and quick services restaurants.,Saudi Arabia,1986, Last updated on: 29 March 2019 ,Awni & Bashar Shaker Company Limited ,500,Private,Food and Beverages,"Tel: +966 12-667-4078,Fax: +966 12-667-4821,Fax: +966 12-669-5839,"
1098, Commercial Reliable Building Ibn Katheer Street 1st Floor Al Malaz Area 487 Saudi Arabia Riyadh 11411 ,Develops telecommunications infrastructure.,Saudi Arabia,1996, Also known as: CCCS Last updated on: 21 May 2018 ,Cooperative Company for Communication Systems ,60,Private,Telecommunications,"Tel: +966 11-478-4444,Fax: +966 11-476-6363,Email: info@cccs.com.sa,"
1099, Al Raja Tower Khobar Dammam Highway 4th Floor 3894 Saudi Arabia Dammam 31481 ,Transmission of electricity.,Saudi Arabia,2001, Also known as: GCCIA Last updated on: 05 March 2019 ,Gulf Cooperation Council Interconnection Authority ,-,Government,Power and Utilities,"Tel: +966 12-642-0552,Fax: +966 13-882-6801,Email: info@gccia.com.sa,www.gccia.com.sa,"
1100," Bin Sulaiman Center Prince Sultan Street 6th Floor, Offices 8-10 Al Khalidiyah District 5958 Saudi Arabia Jeddah 21432 ",Holding company with interests in distribution of medical devices and oil and gas machinery and equipment; offers public relations services; ownership and operation of clinics; private equity investments; organizes conferences.,Saudi Arabia,1991, Also known as: Nazer Last updated on: 12 November 2018 ,Nazer Group Holding Company ,20,Private,Health Care,"Tel: +966 12-603-9999,Fax: +966 12-603-9988,Email: info@nazer.com,www.nazer.com,"
1101, King Faisal Foundation South Tower King Fahad Road 9th and 10th Floor 16010 Saudi Arabia Olaya 11464 ,Holding company with interests in water desalination services; real estate property investment and development; distribution of medical equipment and firearms ammunition.,Saudi Arabia,1982, Also known as: RAKAA Holding Last updated on: 27 May 2019 ,RAKAA Trading Holding Company Limited ,50,Private,Power and Utilities,"Tel: +966 11-464-6767,Fax: +966 11-463-1639,Email: info@rakaa.com,www.rakaa.com,"
1102, Mercure Manazel Al Ain Makkah Building Al Jawhara Street Al Azizia Area 5454 Saudi Arabia Makkah 21955 ,Ownership and operation of a hotel.,Saudi Arabia,2007, Last updated on: 01 April 2019 ,Mercure Manazel Al Ain Makkah ,85,Private,Leisure and Tourism,"Tel: +966 12-557-8000,Fax: +966 12-557-7222,Email: h6203@mercureazizia.com,"
1103, Al Subeaei Towers King Abdul Aziz Street 15th Floor Tahila Area 3831 Saudi Arabia Al Khobar 31952 ,"Distribution of oil and gas, industrial, safety and security machinery and equipment, pipes, valves and pumps; provides engineering consultancy services; leasing of machinery and equipment.",Saudi Arabia,1992, Also known as: STARC Last updated on: 10 June 2019 ,"Saudi Trading & Research Co., Ltd. ",16,Private,Industrial Manufacturing,"Tel: +966 13-882-6456,Tel: +966 13-882-6583,Fax: +966 13-882-6566,Email: starc@starc.com.sa,www.starc.com.sa,"
1104, L'Etoile Tower Prince Faisal Bin Fahad Road 4th Floor 1977 Saudi Arabia Al Khobar 31952 ,"Holding company with interests in manufacture of aluminium products , heavy steel structures, storage tanks and space frame systems; provides civil and electromechanical contracting for commercial buildings; marine contracting including dredging and reclamation works; manufacture of safety and security equipment; offers business consulting and engineering consultancy services.",Saudi Arabia,1984, Also known as: Rafid Last updated on: 15 October 2018 ,Rafid Group ,25,Private,Industrial Manufacturing,"Tel: +966 13-882-7505,Fax: +966 13-882-0965,Email: info@rafidgroup.com,www.rafidgroup.com,"
1105, Zahid Group Building Mohammed Al Taweel Street Ground Floor Mushrifa District 1588 Saudi Arabia Jeddah 21441 ,Provides fossil fuel power generation and non renewable turnkey solutions; offers power generators rental services.,Saudi Arabia,2004, Also known as: Altaaqa Last updated on: 26 November 2018 ,Altaaqa Alternative Solutions Co. Ltd. ,200,Private,Power and Utilities,"Tel: +966 12-687-6080,Tel: +966 12-687-6366,Tel: +966 12-680-6767,Fax: +966 12-687-1180,Email: info@altaaqa.com,www.altaaqa.com,"
1106, Ace Travel Building Khreiss Road 1st and 2nd Floor Al Sulaymaniyah District 1011 Saudi Arabia Riyadh 11422 ,Distribution of medical equipment and supplies.,Saudi Arabia,1968, Last updated on: 14 January 2019 ,Medical Equipment and Supplies Company ,20,Private,Health Care,"Tel: +966 11-478-4232,Fax: +966 11-478-4701,"
1107, Saudi Fransi Insurance Agency Building Dabbab Street 56006 Saudi Arabia Riyadh 11554 ,Provides insurance brokerage services.,Saudi Arabia,2012, Also known as: SFA Last updated on: 15 February 2019 ,Saudi Fransi Insurance Agency ,25,Private,Financial Services,"Tel: +966 9200-10123,Tel: +966 9200-15160,"
1108, Banque Saudi Fransi Building King Saud Street Al Murabba District 56006 Saudi Arabia Riyadh 11554 ,Provides conventional and Islamic lease financing services.,Saudi Arabia,2015, Also known as: SFL Last updated on: 20 May 2019 ,Saudi Fransi for Finance Leasing (Closed Joint Stock Company) ,35,Private,Financial Services,"Tel: +966 9200-10123,Email: infosfl@alfransi.com.sa,www.fransileasing.com,"
1109, Abdullah Mohammed Bin Saedan and Sons Real Estate Company Building 1 Othman Bin Affan Road Al Morsalat Area 12478 Saudi Arabia Riyadh 2197 ,Provides real estate property investment and development.,Saudi Arabia,1993," Also known as: Abdullah Bin Saedan Group, Bin-Saedan Last updated on: 04 March 2019 ",Abdullah Mohammed Bin Saedan and Sons Real Estate Company ,,Private,Real Estate,"Tel: +966 11-453-3333,Fax: +966 11-454-0702,Email: info@bin-saedan.com,www.bin-saedan.com,"
